index,jersey_number,player.id,player.name,position.id,position.name,match_id
1,17,17273,Adelina Engman,21,Left Wing,19736
1,14,4641,Francesca Kirby,23,Center Forward,19736
2,18,15615,Pauline Peyraud Magnin,1,Goalkeeper,19736
2,17,10179,Lisa Evans,2,Right Back,19736
2,6,18999,Leah Williamson,3,Right Center Back,19736
2,20,10666,Dominique Johanna Anna Bloodworth,5,Left Center Back,19736
2,3,18998,Emma Mitchell,6,Left Back,19736
2,10,15616,Kim Little,9,Right Defensive Midfield,19736
2,19,10405,Lia Wälti,11,Left Defensive Midfield,19736
2,7,10658,Danielle van de Donk,17,Right Wing,19736
2,8,10192,Jordan Nobbs,19,Center Attacking Midfield,19736
2,23,15619,Bethany Mead,21,Left Wing,19736
2,11,15623,Vivianne Miedema,23,Center Forward,19736
2049,18,15615,Pauline Peyraud Magnin,1,Goalkeeper,19736
2049,17,10179,Lisa Evans,2,Right Back,19736
2049,6,18999,Leah Williamson,3,Right Center Back,19736
2049,20,10666,Dominique Johanna Anna Bloodworth,5,Left Center Back,19736
2049,3,18998,Emma Mitchell,6,Left Back,19736
2049,7,10658,Danielle van de Donk,9,Right Defensive Midfield,19736
2049,19,10405,Lia Wälti,11,Left Defensive Midfield,19736
2049,23,15619,Bethany Mead,17,Right Wing,19736
2049,8,10192,Jordan Nobbs,19,Center Attacking Midfield,19736
2049,15,15620,Katie McCabe,21,Left Wing,19736
2049,11,15623,Vivianne Miedema,23,Center Forward,19736
2843,18,15615,Pauline Peyraud Magnin,1,Goalkeeper,19736
2843,12,15612,Jessica Marie Samuelsson,2,Right Back,19736
2843,6,18999,Leah Williamson,3,Right Center Back,19736
2843,20,10666,Dominique Johanna Anna Bloodworth,5,Left Center Back,19736
2843,3,18998,Emma Mitchell,6,Left Back,19736
2843,7,10658,Danielle van de Donk,9,Right Defensive Midfield,19736
2843,19,10405,Lia Wälti,11,Left Defensive Midfield,19736
2843,17,10179,Lisa Evans,17,Right Wing,19736
2843,8,10192,Jordan Nobbs,19,Center Attacking Midfield,19736
2843,15,15620,Katie McCabe,21,Left Wing,19736
2843,11,15623,Vivianne Miedema,23,Center Forward,19736
